Time,Thermistor 1,Thermistor 2,Thermistor 3,Thermistor 4,Thermistor 5,Thermistor 5,Thermistor 6,Thermistor 7
0,32.99,33.96,35.69,33.76,28.34,28.63,28.04,32.7
1,32.99,33.67,35.3,33.47,28.24,28.24,28.24,32.51
2,33.28,33.47,36.07,33.28,28.04,28.24,28.43,32.32
3,33.38,33.28,35.78,33.67,28.43,28.34,28.43,32.32
4,33.47,33.38,35.11,33.86,28.92,28.53,28.24,32.32
5,33.47,33.19,35.98,34.15,29.02,28.73,28.43,32.41
6,33.57,33.09,35.69,33.96,28.83,28.53,28.43,32.32
7,33.57,32.8,35.3,33.86,28.63,28.34,28.43,32.12
8,34.05,32.7,36.17,33.76,28.53,28.14,28.63,32.03
9,34.05,32.61,35.4,34.05,28.92,28.43,28.63,32.03
10,34.05,32.61,34.63,34.44,29.22,28.63,28.53,32.12
11,34.44,32.41,35.4,34.34,29.12,28.43,28.63,32.12
12,34.34,32.32,35.01,34.15,29.02,28.34,28.63,31.93
13,34.53,32.12,34.92,33.86,28.73,28.14,28.63,31.74
14,34.53,32.03,35.01,34.24,28.73,28.14,28.73,31.84
15,34.73,32.03,34.15,34.44,28.92,28.34,28.63,31.74
16,34.82,31.93,34.24,34.53,28.92,28.34,28.83,31.84
17,34.82,31.74,34.05,34.24,28.73,28.14,28.73,31.74
18,34.82,31.64,33.76,34.05,28.63,28.14,28.73,31.64
19,34.92,31.55,33.76,34.24,28.34,27.94,28.83,31.64
20,35.01,31.55,33.09,34.34,28.53,28.24,28.83,31.64
21,35.01,31.45,33.19,34.44,28.63,28.24,28.83,31.64
22,34.92,31.26,33.09,34.24,28.34,28.14,28.92,31.64
23,34.92,31.16,32.99,34.05,28.24,28.14,28.83,31.64
24,34.82,31.16,32.9,34.15,28.14,27.94,28.92,31.45
25,34.73,31.26,32.61,34.34,28.34,28.14,29.02,31.55
26,34.82,31.16,32.8,34.15,28.14,28.04,28.92,31.45
27,34.73,31.06,32.7,33.96,28.04,27.94,28.92,31.35
28,34.73,30.97,32.8,33.86,27.94,27.94,28.92,31.35
29,34.53,31.16,32.9,33.96,28.04,27.94,28.92,31.35
30,34.63,31.16,33.09,34.05,28.04,27.85,29.02,31.35
31,34.44,30.97,32.99,33.76,27.85,27.75,29.02,31.35
32,34.15,30.87,33.09,33.76,27.85,27.65,29.12,31.26
33,34.15,30.77,33.19,33.86,27.75,27.65,29.02,31.16
34,34.34,30.77,33.47,33.96,27.75,27.65,29.22,31.26
35,34.24,30.58,33.38,33.76,27.55,27.55,29.12,31.16
36,34.15,30.48,33.47,33.67,27.55,27.45,29.22,31.06
37,34.63,30.58,33.57,33.76,27.55,27.45,29.12,31.06
38,34.82,30.77,33.28,34.24,27.65,27.75,29.12,31.16
39,34.92,31.06,32.9,34.34,28.04,27.94,29.02,31.06
40,35.21,31.26,32.51,34.34,28.14,28.24,29.02,31.26
41,35.59,31.55,32.12,34.53,28.34,28.43,28.92,31.26
42,35.98,31.74,31.55,34.44,28.63,28.83,28.92,31.26
43,36.17,31.93,31.35,34.63,28.92,29.12,28.92,31.55
44,36.65,32.22,30.87,34.53,29.02,29.31,28.73,31.45
45,37.13,32.61,30.67,34.63,29.22,29.61,28.73,31.64
46,37.52,32.9,30.48,34.63,29.41,29.7,28.63,31.64
47,37.71,33.47,30.38,34.92,29.61,30.09,28.63,31.84
48,37.81,33.76,30.29,35.21,29.7,30.09,28.53,31.84
49,37.42,33.86,30.29,35.11,29.7,29.61,28.53,31.84
50,37.04,33.96,30.19,34.92,29.41,29.61,28.24,31.64
51,36.75,33.76,30.19,34.92,29.22,29.41,28.14,31.55
52,36.46,34.05,30.19,34.82,29.12,29.22,28.04,31.35
53,36.17,34.05,30.09,34.73,28.92,28.92,27.85,31.16
54,35.98,34.34,30.09,34.63,28.83,28.73,27.85,31.06
55,35.59,34.53,29.99,34.44,28.53,28.43,27.65,30.97
56,35.4,34.82,29.99,34.34,28.43,28.34,27.65,30.87
57,35.21,35.21,29.99,34.15,28.24,28.24,27.45,30.77
58,35.01,35.4,29.99,34.05,28.14,28.04,27.45,30.67
59,34.82,35.4,30.19,34.44,28.14,27.94,27.45,30.58
60,34.63,35.21,30.38,34.82,27.94,27.94,27.35,30.58
61,34.53,35.4,30.67,34.92,27.85,27.75,27.25,30.58
62,34.24,35.01,30.87,35.4,27.85,27.75,27.25,30.48
63,34.15,35.11,31.06,35.4,27.75,27.75,27.25,30.38
64,33.86,34.73,31.26,35.78,27.85,27.65,27.06,30.38
65,33.86,34.63,31.35,35.88,27.75,27.65,27.06,30.38
66,33.47,34.34,31.55,36.07,27.75,27.55,26.96,30.29
67,33.28,34.15,31.74,36.17,27.75,27.45,26.86,30.19
68,33.19,33.76,31.93,36.27,27.65,27.35,26.76,30.09
69,32.9,33.57,32.12,36.17,27.65,27.35,26.76,30.09
70,33.09,33.28,32.51,36.36,27.65,27.25,26.76,29.9
71,33.76,32.99,32.99,36.27,27.75,27.25,26.66,29.9
72,34.05,32.7,33.09,35.98,27.55,27.25,26.66,29.9
73,34.53,32.41,33.28,35.78,27.55,27.16,26.76,29.8
74,34.63,32.12,33.28,35.5,27.45,27.16,26.76,29.8
75,34.73,31.93,33.19,35.3,27.35,26.96,26.76,29.7
76,34.73,31.74,33.28,35.21,27.35,26.96,26.86,29.7
77,34.73,31.55,33.19,34.92,27.25,26.86,26.76,29.7
78,34.82,31.45,33.19,34.92,27.25,26.86,26.86,29.61
79,34.44,31.26,33.38,35.11,27.35,26.76,26.76,29.51
80,35.01,31.16,33.28,35.01,27.25,26.86,26.86,29.61
81,35.5,31.06,33.19,34.82,27.16,26.76,26.96,29.51
82,35.59,30.97,33.28,34.92,27.25,26.76,26.96,29.51
83,34.92,30.87,33.38,35.3,27.35,26.76,27.06,29.61
84,35.98,30.77,33.28,35.11,27.25,26.76,27.06,29.51
85,35.88,30.58,33.28,34.92,27.25,26.96,27.25,29.61
86,36.65,30.38,33.38,34.73,27.35,26.76,27.45,29.51
87,36.07,30.38,33.57,35.4,27.45,26.76,27.35,29.61
88,36.36,30.29,33.47,35.4,27.55,26.76,27.35,29.51
89,36.65,30.29,33.38,35.3,27.55,26.86,27.55,29.51
90,37.52,30.09,33.38,35.01,27.45,26.76,27.65,29.51
91,37.33,29.99,33.76,34.92,27.65,26.76,27.85,29.51
92,36.94,30.09,33.86,35.59,27.65,26.96,27.85,29.51
93,37.71,29.99,33.86,35.5,27.85,26.96,27.94,29.61
94,37.61,29.99,33.76,35.3,27.85,26.96,28.04,29.61
95,37.52,29.8,33.57,34.92,27.75,26.86,28.14,29.51
96,38.39,29.8,33.96,34.92,27.75,26.86,28.34,29.7
97,38,30.09,33.76,35.5,27.75,26.96,28.24,29.61
98,37.9,30.19,33.96,35.4,28.04,27.16,28.24,29.7
99,38.29,30.09,33.86,35.3,28.04,27.06,28.34,29.7
100,38,29.9,33.67,34.92,27.85,27.06,28.43,29.7
101,38.29,29.9,33.76,34.92,27.85,27.06,28.53,29.8
102,38.29,29.99,33.67,34.82,27.94,27.16,28.63,29.9
103,38.1,30.29,33.57,35.21,27.94,27.25,28.53,29.99
104,37.71,30.77,33.28,35.5,27.85,27.06,28.34,29.7
105,37.52,31.06,32.99,35.59,27.94,27.16,28.24,29.61
106,37.23,31.35,32.8,35.69,27.85,27.06,27.94,29.51
107,36.94,31.64,32.7,35.88,27.85,26.96,27.94,29.41
108,36.84,31.93,32.8,36.27,27.75,27.35,27.85,29.61
109,36.65,31.74,32.61,36.17,28.14,27.65,28.24,29.9
110,36.36,31.55,32.51,36.07,29.12,27.85,28.83,30.58
111,36.17,31.26,32.32,35.78,29.8,27.85,29.31,30.77
112,35.98,31.16,32.32,35.69,30.19,28.04,29.61,31.26
113,35.78,30.97,32.22,35.69,30.77,28.04,29.9,31.64
114,35.59,30.77,32.22,35.78,30.87,27.85,30.09,32.12
115,35.5,30.58,32.7,35.78,31.55,28.04,29.99,32.12
116,35.4,30.38,33.57,35.59,31.35,27.85,29.61,32.03
117,35.4,30.29,33.76,35.21,31.74,27.94,29.31,31.84
118,35.3,30.09,33.76,36.07,32.41,28.53,28.92,31.84
119,35.4,29.99,33.47,36.94,32.22,28.63,28.73,32.12
120,35.5,30.19,33.38,36.84,32.03,28.92,28.53,32.12
121,35.69,30.38,32.7,36.75,31.93,29.02,28.43,32.03
122,35.98,30.58,32.12,36.55,31.84,29.31,28.53,32.03
123,36.36,31.16,31.64,36.55,31.64,29.41,28.34,31.93
124,36.46,31.16,31.45,37.13,31.55,29.31,28.14,31.93
125,36.27,30.97,31.84,37.23,31.26,29.22,27.94,31.64
126,36.17,30.87,32.12,37.23,31.06,28.92,27.85,31.45
127,35.78,30.87,32.32,37.61,30.77,28.73,27.65,31.16
128,35.59,31.35,32.12,37.42,30.58,28.53,27.45,31.06
129,35.5,31.93,32.03,37.13,30.38,28.43,27.35,30.87
130,35.5,32.12,31.84,36.84,30.29,28.43,27.25,30.77
131,35.4,32.12,31.64,36.55,30.09,28.34,27.16,30.67
132,35.3,32.03,31.45,36.07,29.8,28.63,27.16,30.67
133,35.5,32.41,31.35,35.88,29.61,28.92,27.06,30.87
134,35.59,33.19,31.93,34.53,29.31,29.41,26.96,31.16
135,35.5,32.99,32.7,34.82,28.83,29.8,26.86,31.35
136,35.4,32.7,32.7,36.27,29.12,29.9,26.76,31.84
137,35.21,33.09,32.8,36.46,29.12,29.7,26.66,32.12
138,35.11,32.7,32.7,36.36,29.12,29.99,26.96,32.12
139,35.01,32.32,32.61,36.46,29.31,33.47,27.65,32.32
140,34.82,32.12,32.32,36.27,29.31,33.57,27.65,31.84
141,34.63,31.93,32.12,36.07,29.31,33.19,27.85,31.55
142,34.53,31.84,32.03,35.98,29.8,32.7,28.14,31.64
143,34.34,31.55,31.93,35.88,29.99,32.22,28.14,31.84
144,34.24,31.26,31.84,35.88,30.29,31.74,28.34,32.22
145,34.15,30.97,31.64,35.78,30.58,31.16,28.34,32.61
146,34.05,30.97,31.55,35.69,30.77,30.67,28.43,33.09
147,33.86,30.67,31.45,35.5,31.16,30.29,28.53,33.47
148,33.86,30.48,31.35,35.5,31.64,29.99,28.83,33.96
149,33.76,30.38,31.35,35.4,32.32,29.7,29.02,34.24
150,33.67,30.09,31.45,35.3,32.7,29.51,29.22,34.53
151,33.67,29.9,31.35,35.3,32.9,29.22,29.41,34.92
152,33.57,29.8,31.26,35.21,33.38,28.92,29.61,34.82
153,33.47,29.7,31.35,35.11,33.76,28.92,30.09,35.01
154,33.47,29.61,31.35,35.11,34.24,28.73,30.48,34.92
155,33.38,29.41,31.45,35.21,34.24,28.63,30.87,35.01
156,33.28,29.41,31.45,35.4,34.15,28.63,31.16,34.92
157,33.28,29.22,31.45,35.59,33.76,28.53,31.45,34.73
158,33.28,29.22,31.35,35.88,33.47,28.63,31.74,34.63
159,33.19,29.22,31.45,36.07,33.09,28.83,31.84,34.44
160,33.09,29.22,31.45,36.17,32.8,29.02,32.12,34.24
161,33.09,29.12,31.45,36.36,32.51,29.22,32.41,34.05
162,32.99,29.22,31.45,36.46,32.22,29.22,32.51,33.86
163,32.99,29.22,31.45,36.55,31.93,29.41,32.7,33.67
164,32.99,29.22,31.45,36.75,31.74,29.61,32.7,33.47
165,32.9,29.31,31.64,36.75,31.64,30.09,32.9,33.38
166,32.9,29.51,31.64,37.04,31.45,30.09,32.99,33.19
167,32.8,29.61,31.55,37.04,31.26,30.77,32.99,33.19
168,32.8,29.61,31.55,37.13,31.16,31.84,33.28,33.09
169,32.8,29.61,31.45,37.13,31.06,31.84,32.99,32.9
170,32.7,29.7,31.45,37.13,30.97,32.9,33.19,32.8
171,32.7,29.61,31.45,37.13,30.77,34.34,33.19,32.61
172,32.61,29.7,31.35,36.94,30.67,34.05,32.9,32.41
173,32.61,29.61,31.35,37.04,30.58,35.4,33.09,32.12
174,32.51,29.61,31.26,37.23,30.48,36.84,33.19,31.93
175,32.51,29.7,31.16,37.13,30.48,36.94,32.99,31.64
176,32.51,29.8,30.97,37.23,30.38,37.9,32.8,30.97
177,32.51,29.7,31.06,37.52,30.29,37.81,33.09,30.77
178,32.41,29.61,31.06,37.9,30.09,37.23,33.38,30.67
179,32.41,29.41,31.06,38.39,30.09,36.75,33.47,30.77
180,32.41,29.51,31.35,38.78,29.99,36.46,33.67,30.77
181,32.41,29.51,31.74,39.07,29.9,36.07,33.86,30.67
182,32.41,29.41,32.03,39.65,29.8,35.98,33.86,30.67
183,32.41,29.31,32.61,39.65,29.61,35.78,33.86,30.58
184,32.41,29.12,32.8,40.23,29.7,35.88,33.96,30.58
185,32.32,29.12,32.99,40.52,29.61,36.07,33.86,30.48
186,32.32,29.02,33.09,40.43,29.51,36.46,33.67,30.48
187,32.32,28.92,33.38,40.33,29.7,36.94,33.57,30.38
188,32.22,28.92,33.67,39.75,31.64,36.84,33.09,30.29
189,32.41,28.83,34.15,39.26,31.64,36.65,32.22,30.29
190,32.41,28.73,34.34,38.78,33.38,36.65,31.55,30.19
191,32.41,28.63,34.63,38.39,35.01,36.94,31.35,30.09
192,32.61,28.53,34.63,38,34.63,36.75,30.77,30.19
193,32.61,28.53,34.82,37.52,36.07,36.75,30.29,30.19
194,32.61,28.43,34.92,37.23,37.52,37.04,30.19,30.19
195,32.61,28.34,35.01,36.84,36.94,36.65,29.61,30.19
196,32.7,28.43,35.21,36.65,38.19,36.84,29.41,30.19
197,32.61,28.34,35.3,36.36,39.07,36.84,29.22,29.99
198,32.7,28.34,35.4,36.07,39.45,36.75,28.92,30.09
199,32.7,28.34,35.59,36.17,40.23,36.84,28.83,30.09
200,32.61,28.43,35.78,35.88,40.33,36.84,28.53,30.09
201,32.7,28.34,35.78,35.88,41.11,37.23,28.53,30.09
202,32.7,28.24,35.59,35.59,41.8,37.13,28.34,30.09
203,32.7,28.24,35.4,35.69,42.39,37.33,28.24,30.09
204,32.7,28.14,35.3,35.59,42.88,37.52,28.04,30.09
205,32.61,28.14,35.01,35.59,43.28,37.71,27.94,30.19
206,32.7,28.14,34.82,35.59,43.28,37.9,27.85,30.19
207,32.61,28.14,34.63,35.5,42.88,38.1,27.75,30.29
208,32.51,28.04,34.34,35.59,42.39,38,27.65,30.58
209,32.51,28.04,34.24,35.88,41.8,38.1,27.55,30.67
210,32.51,28.14,34.15,36.27,41.5,38,27.35,30.87
211,32.41,28.14,34.05,36.65,41.21,37.9,27.35,30.97
212,32.41,28.04,33.96,37.13,41.31,37.71,27.25,31.16
213,32.41,28.04,33.86,37.61,41.21,37.61,27.16,31.35
214,32.32,27.94,33.67,37.9,40.91,37.52,27.16,31.45
215,32.41,27.94,33.67,38.78,40.72,37.42,27.16,31.84
216,32.32,27.94,33.67,40.33,40.33,37.33,26.96,31.93
217,32.51,27.94,33.67,41.7,40.13,37.33,26.96,32.12
218,32.51,28.04,33.47,42.29,40.13,37.04,26.86,32.32
219,32.51,28.14,33.47,43.18,39.84,36.84,26.76,32.41
220,32.51,28.34,33.47,43.87,39.36,36.46,26.76,32.61
221,32.51,28.43,33.38,44.37,39.16,35.98,26.66,32.61
222,32.41,28.63,33.38,44.77,39.07,35.59,26.66,32.8
223,32.41,28.73,33.19,45.37,38.68,35.01,26.56,32.9
224,32.51,28.83,33.19,45.37,38.78,34.05,26.46,33.09
225,32.41,28.83,33.09,46.28,38.39,33.57,26.46,33.19
226,32.41,29.22,33.19,45.88,38.39,32.7,26.36,33.38
227,32.51,29.22,33.09,47,38.1,32.03,26.36,33.57
228,32.41,29.12,33.19,46.38,38.1,31.45,26.26,33.57
229,32.41,29.02,32.99,47.41,37.81,31.06,26.26,33.76
230,32.41,28.92,32.99,46.89,37.61,30.48,26.17,33.76
231,32.32,28.92,32.9,47.41,37.33,29.9,26.07,33.86
232,32.32,28.83,32.8,48.13,37.13,29.41,26.07,33.76
233,32.32,28.73,32.8,48.64,37.13,29.31,26.07,33.86
234,32.32,28.63,32.9,48.64,36.94,29.22,25.97,33.86
235,32.22,28.53,32.9,48.54,36.75,29.02,25.87,33.86
236,32.32,28.43,33.19,48.33,36.55,29.02,25.77,33.96
237,32.41,28.34,33.67,47.82,35.98,28.92,25.77,34.05
238,32.51,28.24,34.15,47.2,35.59,28.92,25.67,34.15
239,32.61,28.14,34.15,46.49,35.01,28.83,25.67,34.05
240,32.7,28.04,34.34,45.98,34.63,29.02,25.67,33.96
241,32.9,28.04,34.63,45.37,34.34,28.83,25.57,33.96
242,32.9,27.94,34.82,44.87,33.86,28.92,25.57,34.05
243,33.09,27.85,35.01,44.37,33.57,29.02,25.57,34.05
244,33.09,27.85,35.11,43.87,33.28,28.92,25.47,34.05
245,33.09,27.85,35.3,43.47,33.09,28.92,25.47,34.05
246,33.09,27.75,35.5,43.08,32.7,28.92,25.37,34.05
247,33.19,27.75,35.59,42.68,32.61,29.02,25.37,34.15
248,33.38,27.65,35.88,42.29,32.41,29.02,25.37,34.15
249,33.38,27.65,36.27,41.8,32.22,29.12,25.27,34.15
250,33.57,27.65,36.46,41.5,32.12,29.31,25.27,34.15
251,33.67,27.75,36.65,41.11,31.64,29.22,25.27,34.05
252,33.76,28.24,36.65,40.72,31.35,29.31,25.17,34.05
253,33.76,29.02,36.55,40.33,30.97,29.31,25.17,33.96
254,33.86,29.51,36.55,39.84,30.77,29.41,25.17,33.96
255,33.86,29.9,36.36,39.45,30.48,29.41,25.07,33.86
256,33.76,30.29,36.27,38.97,30.29,29.51,25.07,33.76
257,33.76,30.38,36.17,38.58,30.09,29.51,25.07,33.76
258,33.67,30.38,35.88,38.39,29.8,29.51,25.07,33.76
259,33.67,30.48,35.78,38.1,29.61,29.61,25.17,33.76
260,33.76,30.67,35.88,37.61,29.22,29.61,25.07,33.67
261,33.76,31.26,36.07,36.84,29.12,29.9,25.07,33.76
262,33.86,31.84,36.27,36.07,28.92,29.8,24.97,33.67
263,33.96,32.41,36.36,35.11,28.73,29.99,24.97,33.67
264,34.05,32.99,36.36,34.05,28.53,30.19,24.97,33.67
265,34.05,33.38,36.27,32.41,28.14,30.19,24.97,33.67
266,34.24,33.96,36.36,30.58,28.04,30.19,24.87,33.76
267,34.34,34.53,36.36,28.73,27.75,30.29,24.87,33.67
268,34.63,34.63,35.5,27.75,27.65,30.29,24.97,33.67
269,34.92,34.24,34.15,27.55,27.55,30.19,25.17,33.47
270,35.11,34.24,33.09,27.85,27.45,30.29,25.07,33.38
271,35.21,33.86,31.93,28.24,27.35,30.19,25.17,33.38
272,35.3,33.76,31.06,28.63,27.16,30.19,25.17,33.28
273,35.4,33.47,30.09,29.12,27.16,30.09,25.27,33.09
274,35.5,33.19,29.22,29.51,27.06,29.99,25.27,32.99
275,35.5,32.9,28.43,29.99,26.96,29.99,25.37,32.99
276,35.3,32.99,27.55,30.29,26.86,29.9,25.47,32.9
277,35.11,32.9,27.06,30.67,26.86,29.9,25.47,32.8
278,35.3,33.38,26.96,31.06,26.76,29.9,25.47,32.9
279,35.4,33.86,27.06,30.97,26.66,29.99,25.37,32.99
280,35.5,33.86,26.66,30.97,26.66,29.99,25.37,32.99
281,35.78,33.96,26.36,31.16,26.66,29.99,25.37,32.9
282,35.98,34.34,26.26,31.45,26.66,30.09,25.27,32.99
283,36.07,34.15,25.87,31.55,26.56,29.99,25.37,32.99
284,36.17,34.44,25.77,31.84,26.56,29.99,25.37,32.99
285,36.36,34.63,25.57,32.12,26.56,30.09,25.37,32.99
286,36.65,34.73,25.37,32.12,26.56,29.99,25.37,32.9
287,36.75,35.21,25.27,32.61,26.56,30.09,25.37,32.99
288,37.04,35.3,25.17,32.61,26.56,30.09,25.27,32.99
289,37.23,35.69,25.07,32.99,26.56,30.19,25.27,32.99
290,37.52,35.88,24.97,33.19,26.66,30.29,25.27,32.99
291,37.71,36.17,24.87,33.38,26.56,30.19,25.27,33.09
292,37.9,36.55,24.87,33.67,26.66,30.29,25.37,33.19
293,38.19,36.94,24.77,34.15,26.46,30.19,25.17,33.19
294,38.48,37.23,24.77,34.53,26.46,30.19,25.17,33.19
295,38.68,37.52,24.66,34.92,26.36,30.09,25.17,33.19
296,38.97,37.71,24.66,35.21,26.46,30.19,25.17,33.28
297,39.26,37.81,24.56,35.4,26.36,30.09,25.17,33.19
298,39.36,37.71,24.46,35.59,26.36,30.09,25.17,33.28
299,39.55,37.61,24.36,35.59,26.36,30.19,25.17,33.19
300,39.75,37.33,24.26,35.59,26.26,30.09,25.07,33.19
301,39.94,37.13,24.26,35.59,26.26,30.09,25.07,33.19
302,39.94,36.84,24.26,35.69,26.26,29.99,24.97,33.09
303,39.94,36.46,24.16,35.69,26.26,29.99,25.07,33.19
304,39.84,36.17,24.16,35.59,26.07,29.99,25.07,33.09
305,39.75,35.78,24.06,35.5,26.17,29.9,24.97,33.09
306,39.65,35.5,23.96,35.4,26.07,29.99,24.97,33.28
307,39.55,35.21,23.96,35.3,25.97,29.9,24.87,33.09
308,39.36,35.01,23.86,35.11,25.97,29.9,24.97,33.19
309,39.26,34.82,23.86,34.92,25.77,29.7,24.87,33.19
310,39.16,34.82,23.86,34.73,25.77,29.8,24.77,33.19
311,39.16,34.63,23.75,34.63,25.67,29.7,24.77,33.09
312,38.97,34.63,23.75,34.44,25.67,29.7,24.66,33.09
313,38.97,34.53,23.75,34.34,25.57,29.7,24.66,33.09
314,38.97,34.44,23.75,34.24,25.57,29.61,24.66,32.99
315,38.68,34.34,23.65,34.05,25.47,29.61,24.56,32.9
316,38.48,33.96,23.65,33.96,25.47,29.51,24.56,32.9
317,38.48,33.76,23.65,33.96,25.37,29.51,24.56,32.9
318,38.1,33.19,23.65,33.76,25.37,29.41,24.56,32.7
319,37.9,32.8,23.65,33.67,25.37,29.31,24.56,32.61
320,37.9,32.41,23.55,33.67,25.27,29.22,24.56,32.51
321,38,32.22,23.55,33.76,25.27,29.22,24.56,32.41
322,37.9,31.93,23.55,33.76,25.07,29.02,24.46,32.32
323,37.9,31.84,23.45,33.86,25.07,28.92,24.56,32.12
324,37.52,31.64,23.45,34.05,25.07,28.83,24.46,32.03
325,36.94,31.35,23.65,34.05,24.97,28.63,24.46,31.84
326,36.84,31.26,23.75,34.24,24.97,28.63,24.46,31.74
327,36.55,31.16,23.86,34.34,24.87,28.43,24.36,31.64
328,36.17,30.97,24.16,34.24,24.87,28.43,24.26,31.45
329,35.88,30.87,24.36,34.44,24.77,28.24,24.26,31.35
330,35.69,30.87,24.46,34.63,24.77,28.14,24.26,31.16
331,35.3,30.77,24.77,34.53,24.77,28.04,24.16,31.06
332,35.01,30.67,24.97,34.73,24.87,28.04,24.16,31.06
333,34.63,30.58,25.17,34.82,24.77,27.94,24.06,30.97
334,34.34,30.58,25.47,34.73,24.77,27.85,24.06,30.77
335,33.96,30.48,25.67,35.01,24.77,27.85,24.06,30.77
336,33.67,30.38,25.87,34.92,24.66,27.75,23.96,30.67
337,33.38,30.29,26.07,34.92,24.66,27.85,23.96,30.67
338,32.9,30.09,26.26,34.92,24.66,27.65,23.96,30.58
339,32.8,30.09,26.56,34.82,24.77,27.65,23.96,30.48
340,32.51,29.99,26.76,34.73,24.66,27.45,23.96,30.38
341,32.32,29.9,27.06,34.63,24.66,27.45,23.96,30.38
342,32.03,29.8,27.25,34.53,24.66,27.45,23.86,30.29
343,31.74,29.7,27.55,34.34,24.66,27.35,23.86,30.19
344,31.64,29.51,27.85,34.24,24.77,27.35,23.96,30.29
345,31.35,29.41,28.04,34.24,24.66,27.25,23.75,30.19
346,31.26,29.51,28.04,34.44,24.66,27.25,23.86,30.09
347,30.97,29.61,27.85,34.63,24.56,27.16,23.86,30.09
348,30.77,29.61,27.75,34.82,24.66,27.25,23.86,30.09
349,30.58,29.61,27.65,35.01,24.56,27.16,23.75,29.99
350,30.48,29.61,27.45,35.11,24.56,27.06,23.86,30.09
351,30.38,29.61,27.35,35.3,24.56,27.16,23.86,30.09
352,30.29,29.61,27.35,35.5,24.56,27.06,23.86,29.99
353,30.19,29.61,27.16,35.59,24.56,27.16,23.96,30.09
354,30.09,29.61,27.16,35.69,24.46,27.06,23.86,29.99
355,30.09,29.61,27.06,35.88,24.46,27.16,23.96,30.09
356,29.99,29.61,26.86,35.98,24.36,26.96,23.86,29.99
357,29.9,29.61,26.86,36.07,24.46,26.96,23.86,29.99
358,29.9,29.51,26.66,36.17,24.36,26.96,23.86,29.9
359,29.9,29.51,26.56,36.17,24.46,26.96,23.86,29.99
360,29.9,29.51,26.46,36.27,24.46,26.86,23.86,29.9
361,29.8,29.51,26.36,36.17,24.36,26.96,23.86,29.9
362,29.8,29.51,26.36,36.17,24.46,26.96,23.86,29.9
363,29.8,29.51,26.26,35.98,24.36,26.86,23.86,29.9
364,29.8,29.61,26.17,35.88,24.36,26.86,23.75,29.9
365,29.8,29.8,26.17,35.69,24.36,26.76,23.86,29.8
366,29.8,30.09,26.07,35.5,24.36,26.76,23.86,29.7
367,29.9,30.58,26.07,35.3,24.36,26.66,23.75,29.7
368,29.9,31.16,25.97,35.11,24.26,26.76,23.75,29.7
369,29.9,31.64,26.07,35.01,24.36,26.66,23.75,29.61
370,29.9,31.93,26.07,34.82,24.26,26.56,23.75,29.51
371,29.9,32.41,26.07,34.63,24.36,26.56,23.75,29.51
372,29.9,32.9,26.07,34.44,24.26,26.46,23.65,29.41
373,29.9,33.47,26.07,34.34,24.26,26.46,23.65,29.41
374,29.9,33.96,26.07,34.15,24.26,26.36,23.65,29.31
375,29.99,34.34,26.07,33.96,24.26,26.36,23.65,29.31
376,29.99,34.63,26.07,33.86,24.26,26.26,23.55,29.22
377,29.99,34.92,26.07,33.76,24.16,26.26,23.65,29.31
378,29.99,35.11,26.07,33.67,24.26,26.26,23.45,29.31
379,29.99,35.11,26.07,33.57,24.16,26.26,23.55,29.31
380,29.99,34.92,26.07,33.57,24.16,26.26,23.55,29.31
381,29.99,34.24,25.97,33.38,24.16,26.26,23.55,29.31
382,29.99,33.38,25.97,33.28,24.16,26.36,23.65,29.41
383,29.99,32.7,25.87,33.19,24.06,26.36,23.55,29.51
384,29.99,32.03,25.87,33.09,24.06,26.36,23.55,29.51
385,30.09,30.97,25.77,32.9,24.06,26.36,23.55,29.51
386,30.09,30.58,25.77,32.7,24.06,26.36,23.55,29.61
387,30.09,29.99,25.77,32.51,23.96,26.36,23.55,29.51
388,30.09,29.9,25.77,32.41,23.96,26.46,23.55,29.51
389,30.09,29.22,25.77,32.22,23.96,26.36,23.55,29.41
390,30.09,29.02,25.67,32.03,23.96,26.36,23.55,29.41
391,30.09,28.53,25.67,31.93,23.96,26.36,23.65,29.41
392,30.09,28.04,25.67,31.84,23.86,26.26,23.55,29.41
393,30.19,27.65,25.67,31.74,23.86,26.26,23.65,29.41
394,30.19,27.25,25.57,31.64,23.86,26.17,23.45,29.31
395,30.19,27.45,25.67,31.35,23.86,26.46,23.55,29.7
396,30.29,27.25,25.77,31.06,23.86,26.66,23.55,29.99
397,30.29,26.96,25.87,32.9,23.86,26.96,23.45,30.58
398,30.29,26.76,25.87,34.82,23.96,26.76,23.35,30.97
399,30.29,26.56,25.87,34.92,24.06,26.26,23.35,31.35
400,30.29,26.36,25.97,34.53,24.16,25.77,23.35,31.55
401,30.29,26.26,26.07,34.15,24.16,25.57,23.35,31.84
402,30.29,26.17,26.07,33.76,24.16,26.26,23.75,31.93
403,30.29,25.97,26.07,33.67,24.06,26.86,23.96,31.16
404,30.29,25.97,26.07,33.38,23.96,26.66,24.06,30.48
405,30.29,25.87,26.07,33.19,23.86,26.36,24.16,29.7
406,30.29,25.77,25.97,32.9,23.86,26.26,24.26,29.02
407,30.29,25.77,25.97,32.7,23.75,26.17,24.26,28.34
408,30.29,25.77,25.97,32.51,23.65,29.12,24.77,28.34
409,30.29,25.67,25.97,32.41,23.65,28.83,24.77,27.65
