Thermistor 1, Thermistor 2, Thermistor 3, Thermistor 4, Thermistor 5, Thermistor 6, Thermistor 7, Thermistor 8
-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
54.9,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
54.79,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
54.79,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
54.79,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
54.9,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
54.9,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.01,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
54.9,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.01,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
54.9,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.01,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.01,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.01,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.01,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.01,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.01,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.01,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.01,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.01,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.13,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.13,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.13,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.01,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.13,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.13,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.13,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.13,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.13,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.13,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.13,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.13,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.13,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
